OG0001466	GO:0030672,GO:0007269
OG0006892	GO:0005737,GO:0016020,GO:0005044
OG0005017	GO:0005829,GO:0016314,GO:0016311
OG0003994	GO:0006398,GO:0005737,GO:0071207,GO:0051028,GO:0071204,GO:0003729
OG0000303	GO:0007608,GO:0005615
OG0004956	GO:0003746,GO:0006414,GO:0070125
OG0003782	GO:0005634,GO:0003723,GO:0016973
OG0004677	GO:0005737,GO:0004842,GO:0051603
OG0010328	GO:0034553,GO:0005758,GO:0006105,GO:0005739
OG0004718	GO:0005886,GO:0006508,GO:0008239
OG0010027	GO:0005730,GO:0000462
OG0004496	GO:0005886
OG0001617	GO:0017124
OG0007633	GO:0016020
OG0006586	GO:0005829,GO:0016192,GO:0005634,GO:0005737,GO:0018344,GO:0005092,GO:0005968,GO:0007264
OG0008052	GO:0005615,GO:0004252
OG0005121	GO:0042813,GO:0005886,GO:0017147,GO:0060070
OG0005323	GO:0006401,GO:0004521,GO:0033897,GO:0003723,GO:0005576
OG0001936	GO:0005524,GO:0016887
OG0005406	GO:0006810,GO:0022857,GO:1990575,GO:0005289,GO:0005739
OG0008243	GO:0003723
OG0001222	GO:0006814,GO:0015293
OG0007847	GO:0007034,GO:0032511,GO:0006900,GO:0005771
OG0003564	GO:0005737
OG0007050	GO:0006357,GO:0003712,GO:0005667
OG0002163	GO:0046512,GO:0046513,GO:0001729,GO:0016020,GO:0006665,GO:0016310,GO:0047620,GO:0005739,GO:0005737,GO:0001727,GO:0043231,GO:0017050,GO:0004143
OG0001715	GO:0042981
OG0008716	GO:0004198,GO:0006508,GO:0005737
OG0002686	GO:0000981,GO:0006357,GO:0000978
OG0006908	GO:0007186,GO:0005886,GO:0008528
OG0006100	GO:0019005,GO:0031146
OG0004010	GO:0004730,GO:0005737,GO:0016798
OG0007891	GO:0000479,GO:0005525,GO:0042254,GO:0030686,GO:0000462,GO:0003924,GO:0034511
OG0006161	GO:0003697,GO:0005739,GO:0006264,GO:0043139,GO:0003678
OG0000754	GO:0007608,GO:0005549,GO:0050911,GO:0005886,GO:0004984,GO:0016020
OG0004071	GO:0007076,GO:0005730,GO:0005819,GO:0008017,GO:0005874,GO:0072686,GO:0000226,GO:0000281,GO:0040001
OG0006028	GO:0098742,GO:0016477,GO:0016342,GO:0045296,GO:0007275,GO:0008013,GO:0098609,GO:0031175
OG0006820	GO:0030036,GO:0001725,GO:0051371,GO:0005912,GO:0031941,GO:0003779,GO:0030018,GO:0061061
OG0008935	GO:0005758
OG0008221	GO:0046935,GO:0005942,GO:0046854
OG0009785	GO:0005634,GO:0006357,GO:0000981
OG0005341	GO:0005739,GO:1990519,GO:0015218,GO:0000002
OG0002740	GO:0034388,GO:0030515,GO:0030490,GO:0032040
OG0002317	GO:0006538,GO:0005739,GO:0004352
OG0008759	GO:0005739,GO:0005737,GO:0016020
OG0001280	GO:0004674,GO:0030332,GO:0005634,GO:0008353,GO:0070816,GO:0008024,GO:0000307,GO:0006468,GO:0032968
OG0005187	GO:0016409,GO:0018230,GO:0005783,GO:0005794,GO:0019706,GO:0006612
OG0007992	GO:0004143,GO:0016020,GO:0007165
OG0001091	GO:0000978,GO:0000785,GO:0001708,GO:0006355,GO:0003700,GO:0005634,GO:0006357,GO:0000981
OG0009060	GO:0004531,GO:0006309,GO:0006259
OG0007549	GO:0045944,GO:0000976,GO:0005634
OG0006945	GO:0005840,GO:0006412,GO:0003735
OG0006729	GO:0007034,GO:0032511,GO:0000815,GO:0006900,GO:0009898,GO:0005771
OG0001948	GO:0055085,GO:0016020
OG0004239	GO:0061172,GO:0000132,GO:0005819
OG0006237	GO:0007266,GO:0005515,GO:0005829,GO:0005737,GO:0016020,GO:0005094
OG0005478	GO:0003899,GO:0001055,GO:0005665,GO:0006366
OG0005760	GO:0004674,GO:0035556,GO:0005737,GO:0008349,GO:0006468
OG0001067	GO:0005634,GO:0001228,GO:0007420,GO:0030154,GO:0000122,GO:0000978,GO:0030182,GO:0045944
OG0001417	GO:0004364,GO:0016034,GO:0005739,GO:0006559,GO:0006749
OG0006863	GO:0003723,GO:0005634,GO:0006396,GO:0005737
OG0007929	GO:0016567
OG0009641	GO:0005525
OG0003702	GO:0006368,GO:0016593,GO:0000993,GO:0006355
OG0009025	GO:0045892,GO:0005737,GO:0032922,GO:0005634,GO:0003677,GO:0071949,GO:0043153
OG0008978	GO:0042800,GO:0035097,GO:0045893
OG0008813	GO:0019310,GO:0005737,GO:0005506,GO:0050113
OG0008440	GO:0042734,GO:0035249,GO:0031594,GO:0005516,GO:0061789,GO:0099525,GO:0007268,GO:0005886,GO:0016081,GO:0017075,GO:0098831,GO:0043195,GO:0016082,GO:0030672,GO:0019992
OG0002705	GO:0005847,GO:0006398,GO:0003723,GO:0004534,GO:0004521,GO:0006378
OG0000931	GO:0016020,GO:0005886,GO:0007218,GO:0008188
OG0004728	GO:0005634,GO:0006357
OG0010318	GO:0005739,GO:0042775,GO:0008535
OG0009969	GO:0004867,GO:0005615
OG0003156	GO:0008528,GO:0007190,GO:0009755,GO:0005886,GO:0007189
OG0009514	GO:0005739,GO:0005743,GO:0033617
OG0002450	GO:0006817,GO:0016036,GO:0000822,GO:0005886,GO:0005794,GO:0005737,GO:0015114
OG0000315	GO:0005319
OG0007003	GO:0005737
OG0002192	GO:0005634
OG0006251	GO:0005634,GO:0016926,GO:0016929
OG0007836	GO:0016052,GO:0016836,GO:0000287
OG0002383	GO:0005737,GO:0005739,GO:0008017,GO:0097431,GO:0005876
OG0005702	GO:0005009,GO:0043410,GO:0004714,GO:0007169,GO:0033674,GO:0030424,GO:0043560,GO:0051897,GO:0005886,GO:0005899,GO:0042593,GO:0043235,GO:0007275
OG0002171	GO:0008045
OG0001703	GO:0030154
OG0008025	GO:0005739,GO:0005747
OG0001255	GO:0004089,GO:0008270
OG0005130	GO:0016020,GO:0016192
OG0007415	GO:0005085,GO:0071230,GO:0071986,GO:0005764,GO:0032008
OG0007626	GO:0007169,GO:0043235,GO:0033674,GO:0005886,GO:0004714,GO:0007275
OG0006110	GO:0080009,GO:0005634,GO:0016556,GO:0000381
OG0009924	GO:0000062
OG0009551	GO:0022841,GO:0015271,GO:0016020,GO:0005886,GO:0005267,GO:0030322,GO:0071805
OG0006918	GO:0003723,GO:0001530
OG0002155	GO:0008194
OG0006296	GO:0036449,GO:0051011,GO:0007026,GO:0008017,GO:0031122,GO:0005516
OG0008276	GO:0006123,GO:0005746,GO:0002082,GO:0097250
OG0007431	GO:0005615,GO:0031012
OG0001271	GO:0030552,GO:2000480,GO:0005952,GO:0034236,GO:0005829,GO:0004862
OG0005154	GO:0005201,GO:0009888,GO:0007411,GO:0005604,GO:0009887
OG0007109	GO:0001816,GO:0045944
OG0007718	GO:0004813,GO:0006419,GO:0005739,GO:0002161
OG0008319	GO:0036122,GO:0005615,GO:0009887,GO:0048018,GO:0038098
OG0008001	GO:0019888,GO:0006470,GO:0005737
OG0007044	GO:0000448,GO:0051731,GO:0005634,GO:0006396
OG0001622	GO:0007064,GO:0000785,GO:0006281,GO:0005634
OG0008213	GO:0008253
OG0003559	GO:0006334,GO:0005634
OG0007986	GO:0060271,GO:0036038
OG0002750	GO:0000981,GO:0006355,GO:0000978
OG0005373	GO:0005739,GO:0008206,GO:0008111
OG0005665	GO:0022625,GO:0005840,GO:0003735,GO:0006412,GO:0002181
OG0005917	GO:0005797,GO:0016020,GO:0000138
OG0009070	GO:0005484,GO:0031201,GO:0016082,GO:0006887,GO:0006906,GO:0019905,GO:0005886,GO:0031629
OG0001290	GO:0005886,GO:0005085,GO:0007264,GO:0005737,GO:0031267
OG0008437	GO:0005634,GO:0006357,GO:0000981,GO:0006355,GO:0000978,GO:0003700
OG0009368	GO:0034271,GO:0000407,GO:0034272,GO:0036092,GO:0048015,GO:0000045,GO:0052742,GO:0016020,GO:0005737,GO:0046854,GO:0016303,GO:0030242,GO:0005768,GO:0005777,GO:0006897
OG0007663	GO:0003743,GO:0005737,GO:0005852,GO:0006413
OG0004032	GO:0031398
OG0002485	GO:0000981,GO:0006357,GO:0000978
OG0000946	GO:0000981,GO:0005634,GO:0006357,GO:0000978,GO:0030154
OG0004616	GO:0004177,GO:0005829,GO:0004301,GO:0043171
OG0004977	GO:0045165,GO:0016055,GO:0005615,GO:0030182,GO:0005576,GO:0005109,GO:0060070,GO:0005102,GO:0005125,GO:0007275
OG0006122	GO:0000932,GO:0050072,GO:0005737,GO:0000290
OG0009541	GO:0006429,GO:0005524,GO:0004823,GO:0000166
OG0001497	GO:0005829
OG0007261	GO:0016409
OG0005469	GO:0006048,GO:0003977
OG0008470	GO:0032981,GO:0005739
OG0008805	GO:0005615,GO:0031012
OG0007776	GO:0033617,GO:0005739
OG0003772	GO:0005634,GO:0000703,GO:0006289,GO:0006285,GO:0003906
OG0001680	GO:0000981,GO:0005634,GO:0006357,GO:0000977
OG0008948	GO:0097602,GO:0043161,GO:0031463,GO:0005737
OG0001789	GO:0016020
OG0003436	GO:0000151,GO:0006511
OG0009012	GO:0003723
OG0002347	GO:0032589,GO:0050808
OG0008082	GO:0043161,GO:0034657,GO:0007039,GO:0045721,GO:0006623
OG0008969	GO:0005886,GO:0035023,GO:0031267
OG0004680	GO:0005096,GO:0007264
OG0005971	GO:0006362,GO:0005736,GO:0006352
OG0010263	GO:0016887,GO:0031011,GO:0006281,GO:0042393,GO:0006338
OG0002732	GO:0000978,GO:0042795,GO:0001006,GO:0019185,GO:0042796
OG0005619	GO:0005737,GO:0016887
OG0007011	GO:0005634
OG0004289	GO:0006661,GO:0003881,GO:0005794
OG0005732	GO:0004467,GO:0005783,GO:0016020
OG0001206	GO:0050911,GO:0007608,GO:0005549,GO:0005886,GO:0016020,GO:0004984
OG0008076	GO:0051015,GO:0051017,GO:0005737
OG0007446	GO:0019722,GO:0030425,GO:0014069,GO:0007015,GO:0051015,GO:0015629,GO:0031175,GO:0005737
OG0006799	GO:0044818,GO:0070876,GO:0003677,GO:0000724,GO:0010212
